OID_,PDP_ID,ISEQNO,TRAFSEG_ID,RECKEY,FOS_PRJ_ID,PDP_FRM,PDP_TO,PDP_MILE,INTS_NM,DIVUND,HWYADIR,GRP_DESC,TPTNDIST,FID,OBJECTID,FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,META_MANAG,META_MAN_1,PDP_ID_1,PDP_FRM_1,PDP_TO_1,PDP_MILE_1
,"1,219","7,860","8,295","15,301,172", , 011E104 000, 011E106 000,1.7800000,STH 104 NB,U, 011E, ,1,27,"1,164","19,439","19,435",0,0,"2,853.367133260000200","1,164","1,219","1,219", 011E104 000, 011E106 000,1.7800000
,"1,220","7,870","8,295","15,301,172", , 011E106 000, 011E107 052,1.2700000,SEVERSON RD,U, 011E, ,1,28,"1,165","19,435","19,433",0,0,"2,026.164253120000000","1,165","1,220","1,220", 011E106 000, 011E107 052,1.2700000
,"1,221","7,880","8,295","15,301,172", , 011E107 052, 011E109 000,1.0000000, ,U, 011E, ,1,29,"1,166","19,433","19,420",0,0,"1,612.562813040000000","1,166","1,221","1,221", 011E107 052, 011E109 000,1.0000000
,"1,222","7,890","8,295","15,301,172", , 011E109 000, 011E111 000,1.3000000,POTTER RD,U, 011E, ,1,30,"1,167","19,420","19,418",0,0,"2,068.007200359999800","1,167","1,222","1,222", 011E109 000, 011E111 000,1.3000000
,"1,224","7,900","9,822","15,301,175", , 011E111 000, 011E111 056,0.5600000,STH 213 NB,U, 011E, ,1,31,"1,168","19,417","19,380",0,0,909.279430509000010,"1,168","1,224","1,224", 011E111 000, 011E111 056,0.5600000
,"1,225","7,900","3,776","15,301,175", , 011E111 056, 011E111 084,0.2800000, ,U, 011E, ,1,32,"1,169","19,380","19,355",0,0,453.835043192000000,"1,169","1,225","1,225", 011E111 056, 011E111 084,0.2800000
,"1,226","7,910","3,776","15,301,175", , 011E111 084, 011E114 000,1.7000000, ,U, 011E, ,1,33,"1,170","19,355","19,288",0,0,"2,731.056979779999900","1,170","1,226","1,226", 011E111 084, 011E114 000,1.7000000
,"1,227","7,920","3,776","15,301,175", , 011E114 000, 011E115 000,0.9900000,WELSH RD,U, 011E, ,1,0,"1,171","19,288","19,223",0,0,"1,588.823478849999900","1,171","1,227","1,227", 011E114 000, 011E115 000,0.9900000
,"1,228","7,930","3,776","15,301,175", , 011E115 000, 011E115 009,0.0900000,S FOOTVILLE RD,U, 011E, ,1,1,"1,172","19,223","19,211",0,0,142.830799429000000,"1,172","1,228","1,228", 011E115 000, 011E115 009,0.0900000
,"1,229","7,930","9,813","15,301,175", , 011E115 009, 011E116 000,0.7100000,GILBERT ST,U, 011E, ,1,2,"1,173","19,211","19,152",0,0,"1,128.150231480000000","1,173","1,229","1,229", 011E115 009, 011E116 000,0.7100000
,"1,230","7,930","5,747","15,301,178", , 011E116 000, 011E116 054,0.5400000,CTH B,U, 011E, ,1,3,"1,174","19,151","19,149",0,0,880.311236261999970,"1,174","1,230","1,230", 011E116 000, 011E116 054,0.5400000
,"1,231","7,940","5,747","15,301,178", , 011E116 054, 011E119 000,1.5800000, ,U, 011E, ,1,4,"1,175","19,149","19,144",0,0,"2,533.107652430000100","1,175","1,231","1,231", 011E116 054, 011E119 000,1.5800000
,"1,232","7,950","5,747","15,301,178", , 011E119 000, 011E120 000,0.4400000, ,U, 011E, ,1,5,"1,176","19,144","19,145",0,0,695.236661911000060,"1,176","1,232","1,232", 011E119 000, 011E120 000,0.4400000
,"1,233","7,950","8,768","15,301,178", , 011E120 000, 011E120 094,0.9400000,CTH H,U, 011E, ,1,6,"1,177","19,146","19,143",0,0,"1,533.704950930000000","1,177","1,233","1,233", 011E120 000, 011E120 094,0.9400000
,"1,234","7,960","8,768","15,301,178", , 011E120 094, 011E120 178,0.8400000, ,U, 011E, ,1,7,"1,178","19,143","19,124",0,0,"1,369.551850200000000","1,178","1,234","1,234", 011E120 094, 011E120 178,0.8400000
,"1,235","7,960","9,057","15,301,178", , 011E120 178, 011E123 000,0.6900000,ROCKPORT RD,U, 011E, ,1,8,"1,179","19,124","19,089",0,0,"1,124.847329470000000","1,179","1,235","1,235", 011E120 178, 011E123 000,0.6900000
,"1,236","7,970","9,057","15,301,178", , 011E123 000, 011E124M000,1.1000000,WILLING RD,U, 011E, ,1,9,"1,180","19,089","19,074",0,0,"1,720.247062820000100","1,180","1,236","1,236", 011E123 000, 011E124M000,1.1000000
,"1,237","7,970","9,058","15,301,183", , 011E124M000, 011E125M000,0.4900000,CONNECTOR TO W COURT ST,U, 011E, ,1,10,"1,181","19,074","19,127",0,0,830.892785383000050,"1,181","1,237","1,237", 011E124M000, 011E125M000,0.4900000
,"1,238","7,980","9,059","15,301,183", , 011E125M000, 011E126M000,1.0800000, ,U, 011E, ,1,11,"1,182","19,127","19,244",0,0,"1,717.559652190000000","1,182","1,238","1,238", 011E125M000, 011E126M000,1.0800000
,"1,239","7,990","9,059","15,301,185", , 011E126M000, 011E126M092,0.9200000,HANOVER RD,U, 011E, ,1,12,"1,183","19,244","19,312",0,0,"1,475.768562440000100","1,183","1,239","1,239", 011E126M000, 011E126M092,0.9200000
,"1,240","8,000","9,059","15,301,185", , 011E126M092, 011E127M000,0.3000000,STH 11 WB,D, 011E, ,1,13,"1,184","19,312","19,328",0,0,481.187917340000010,"1,184","1,240","1,240", 011E126M092, 011E127M000,0.3000000
,"1,241","8,000","8,769","15,301,185", , 011E127M000, 011E127M061,0.6100000, ,D, 011E, ,1,14,"1,185","19,328","19,330",0,0,979.146375671999980,"1,185","1,241","1,241", 011E127M000, 011E127M061,0.6100000
,"1,242","8,000","8,770","15,301,185", , 011E127M061, 011E127P000,0.9400000,RAMP FOR RIVER RD,D, 011E, ,1,15,"1,186","19,330","19,345",0,0,"1,506.646581940000000","1,186","1,242","1,242", 011E127M061, 011E127P000,0.9400000
,"1,243","8,010","8,770","15,301,185", , 011E127P000, 011E128M000,0.5400000, ,D, 011E, ,1,16,"1,187","19,345","19,358",0,0,865.669164883000010,"1,187","1,243","1,243", 011E127P000, 011E128M000,0.5400000
,"1,245","134,900","2,526","15,301,187", , 011E128M000, 011E129H000,0.9900000,USH 51 SB,D, 011E, ,1,17,"1,188","19,359","19,371",0,0,"1,586.813307050000000","1,188","1,245","1,245", 011E128M000, 011E129H000,0.9900000
,"1,246","134,910","1,056","15,301,187", , 011E129H000, 011E129T018,1.1400000,CTH G,D, 011E, ,1,18,"1,189","19,372","19,366",0,0,"1,802.465419769999900","1,189","1,246","1,246", 011E129H000, 011E129T018,1.1400000
,"1,247","134,920","1,056","15,301,187", , 011E129T018, 011E129T060,0.4200000, ,D, 011E, ,1,19,"1,190","19,366","19,368",0,0,678.860478581000050,"1,190","1,247","1,247", 011E129T018, 011E129T060,0.4200000
,"1,248","134,920","1,280","15,301,187",10031076, 011E129T060, 011E130P000,0.2000000, ,1, 011E,ILLINOIS STATE LINE - MADISON,1,20,"1,191","19,370","19,341",0,0,310.603416084999990,"1,191","1,248","1,248", 011E129T060, 011E130P000,0.2000000
,"1,249","300,030","1,258",0, , 011E131H000, 011E131H025,0.2500000,I-90 WB,1, 011E, ,1,21,"1,192","19,169","19,148",0,0,398.512430780999980,"1,192","1,249","1,249", 011E131H000, 011E131H025,0.2500000
,"1,250","8,020","60,580",0, , 011E131H025, 011E131H048,0.2300000,CONN FROM E RACINE ST,D, 011E, ,1,22,"1,193","19,147","19,125",0,0,377.196553347000020,"1,193","1,250","1,250", 011E131H025, 011E131H048,0.2300000
,"1,251","8,020","3,882",0, , 011E131H048, 011E132M000,0.2100000,MIDLAND RD,D, 011E, ,1,23,"1,194","19,125","19,128",0,0,343.907804688000000,"1,194","1,251","1,251", 011E131H048, 011E132M000,0.2100000
,"1,252","8,020",636,"15,301,187", , 011E132M000, 011E132M020,0.2000000,CTH J,D, 011E, ,1,24,"1,195","19,128","19,130",0,0,300.947351336000000,"1,195","1,252","1,252", 011E132M000, 011E132M020,0.2000000
,"1,253","8,030",636,"15,301,193", , 011E132M020, 011E132M053,0.3300000,STH 11 WB,U, 011E, ,1,25,"1,196","19,130","19,132",0,0,496.741257588999990,"1,196","1,253","1,253", 011E132M020, 011E132M053,0.3300000
,"1,254","8,030","20,119","15,301,193", , 011E132M053, 011E133M000,0.5000000, ,U, 011E, ,1,26,"1,197","19,132","19,154",0,0,865.478460362999950,"1,197","1,254","1,254", 011E132M053, 011E133M000,0.5000000
,"2,731","17,260","5,902","15,301,443", , 014E224 079, 014E227 000,1.1600000, ,U, 014E, ,1,51,"2,611","18,076","18,157",0,0,"2,003.042126580000100","2,611","2,731","2,731", 014E224 079, 014E227 000,1.1600000
,"2,732","17,270","5,902","15,301,443", , 014E227 000, 014E228 000,0.8000000,STEWART RD,U, 014E, ,1,52,"2,612","18,157","18,196",0,0,"1,162.545329719999900","2,612","2,732","2,732", 014E227 000, 014E228 000,0.8000000
,"2,733","17,270","1,175","15,301,443", , 014E228 000, 014E230 000,1.1600000,STH 59   (N JCT),U, 014E, ,1,53,"2,613","18,196","18,265",0,0,"1,875.254101880000000","2,613","2,733","2,733", 014E228 000, 014E230 000,1.1600000
,"2,734","17,280","1,175","15,301,443", , 014E230 000, 014E231 000,0.7800000,BULLARD RD,U, 014E, ,1,54,"2,614","18,265","18,327",0,0,"1,205.030552980000000","2,614","2,734","2,734", 014E230 000, 014E231 000,0.7800000
,"2,735","17,290","1,175","15,301,443", , 014E231 000, 014E232D000,0.9200000,ELMER RD,U, 014E, ,1,55,"2,615","18,327","18,374",0,0,"1,489.162154370000100","2,615","2,735","2,735", 014E231 000, 014E232D000,0.9200000
,"2,736","17,290","5,855","15,301,447", , 014E232D000, 014E232K000,0.4000000,STH 59   (S JCT),U, 014E, ,1,56,"2,616","18,374","18,404",0,0,693.627317786000050,"2,616","2,736","2,736", 014E232D000, 014E232K000,0.4000000
,"2,737","17,300","8,313","15,301,450", , 014E232K000, 014E232K068,0.6800000,E MAIN ST,U, 014E, ,1,57,"2,617","18,404","18,402",0,0,"1,054.120401740000000","2,617","2,737","2,737", 014E232K000, 014E232K068,0.6800000
,"2,738","17,300","8,314","15,301,453", , 014E232K068, 014E233 000,0.3600000,WATER ST,U, 014E, ,1,58,"2,618","18,402","18,413",0,0,557.178659999000050,"2,618","2,738","2,738", 014E232K068, 014E233 000,0.3600000
,"2,739","17,310","5,538","15,301,453", , 014E233 000, 014E233 020,0.2000000,CTH M,U, 014E, ,1,59,"2,619","18,413","18,414",0,0,325.087513208000020,"2,619","2,739","2,739", 014E233 000, 014E233 020,0.2000000
,"2,740","17,310","5,538","15,301,453",51550262, 014E233 020, 014E234 051,1.1000000, ,U, 014E,EVANSVILLE - JANESVILLE,1,60,"2,620","18,414","18,451",0,0,"1,781.543946150000000","2,620","2,740","2,740", 014E233 020, 014E234 051,1.1000000
,"2,741","17,320","5,538","15,301,453",51550262, 014E234 051, 014E236 000,0.5400000, ,U, 014E,EVANSVILLE - JANESVILLE,1,61,"2,621","18,451","18,475",0,0,870.655171514000020,"2,621","2,741","2,741", 014E234 051, 014E236 000,0.5400000
,"2,742","17,320","9,873","15,301,453",51550262, 014E236 000, 014E237 000,1.0599999,TOLLES RD,U, 014E,EVANSVILLE - JANESVILLE,1,62,"2,622","18,475","18,489",0,0,"1,726.826245900000000","2,622","2,742","2,742", 014E236 000, 014E237 000,1.0599999
