OID_,PDP_ID,LOSYR_1,LOSYR_5,LOSYR_10,LOSYR_15,LOSYR_20,SLOSHOLD,LOI_M_HI,LOI_M_LO,TRG_M_HI,TRG_M_LO,AADTYR_1,AADTYR_5,AADTYR_10,AADTYR_15,AADTYR_20,KYR_1,KYR_20,TRKDYR_1,TRKDYR_20,DSPL,FACTOR,HCMTYPE,PTDSPEED,NUMLANES,TRWAYWD,LSHTOTWD,RSHTOTWD,TERRAIN,PCTYELOW,ACCESSMI,RSH1TYP,URBCLASS,SIGDENSE,LTURNLN,TRAFSITEID,FID,OBJECTID,FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,META_MANAG,META_MAN_1,PDP_ID_1,PDP_FRM,PDP_TO,PDP_MILE
,"1,219",3.7300000,3.7800000,3.8599999,3.7100000,3.7700000,4.0000000,30,30,P1,P1,"4,690","4,820","4,990","5,140","5,290",12.8999996,12.6000004,8.8000002,8.8000002,62,2,TWO,55,2,24,10,10,1,23,1,3,0,0, ,530408,27,"1,164","19,439","19,435",0,0,"2,853.367133260000200","1,164","1,219","1,219", 011E104 000, 011E106 000,1.7800000
,"1,220",3.7300000,3.7800000,3.8599999,3.7100000,3.7700000,4.0000000,30,30,P1,P1,"4,690","4,820","4,990","5,140","5,290",12.8999996,12.6000004,8.8000002,8.8000002,62,2,TWO,55,2,24,10,10,1,23,1,3,0,0, ,530408,28,"1,165","19,435","19,433",0,0,"2,026.164253120000000","1,165","1,220","1,220", 011E106 000, 011E107 052,1.2700000
,"1,221",3.7300000,3.7800000,3.8599999,3.7100000,3.7700000,4.0000000,30,30,P1,P1,"4,690","4,820","4,990","5,140","5,290",12.8999996,12.6000004,8.8000002,8.8000002,62,2,TWO,55,2,24,10,10,1,23,1,3,0,0, ,530408,29,"1,166","19,433","19,420",0,0,"1,612.562813040000000","1,166","1,221","1,221", 011E107 052, 011E109 000,1.0000000
,"1,222",3.7300000,3.7800000,3.8599999,3.7100000,3.7700000,4.0000000,30,30,P1,P1,"4,690","4,820","4,990","5,140","5,290",12.8999996,12.6000004,8.8000002,8.8000002,62,2,TWO,55,2,24,10,10,1,23,1,3,0,0, ,530408,30,"1,167","19,420","19,418",0,0,"2,068.007200359999800","1,167","1,222","1,222", 011E109 000, 011E111 000,1.3000000
,"1,224",4.4699998,4.2700000,4.3899999,4.5000000,4.6100001,4.0000000,30,30,P1,P1,"4,920","5,150","5,430","5,720","6,010",12.8000002,12.3999996,7.5999999,7.5999999,62,2,TWO,55,2,24,10,10,1,89,7,3,0,0, ,531571,31,"1,168","19,417","19,380",0,0,909.279430509000010,"1,168","1,224","1,224", 011E111 000, 011E111 056,0.5600000
,"1,225",3.6400001,3.7300000,3.8900001,3.8000000,3.8900001,4.0000000,30,30,P1,P1,"5,230","5,470","5,780","6,080","6,380",11.1000004,10.8999996,7.4000001,7.4000001,57,4,TWO,55,2,24,10,10,1,40,2,3,0,0, ,536124,32,"1,169","19,380","19,355",0,0,453.835043192000000,"1,169","1,225","1,225", 011E111 056, 011E111 084,0.2800000
,"1,226",3.6400001,3.7300000,3.8900001,3.8000000,3.8900001,4.0000000,30,30,P1,P1,"5,230","5,470","5,780","6,080","6,380",11.1000004,10.8999996,7.4000001,7.4000001,57,4,TWO,55,2,24,10,10,1,40,2,3,0,0, ,536124,33,"1,170","19,355","19,288",0,0,"2,731.056979779999900","1,170","1,226","1,226", 011E111 084, 011E114 000,1.7000000
,"1,227",3.6400001,3.7300000,3.8900001,3.8000000,3.8900001,4.0000000,30,30,P1,P1,"5,230","5,470","5,780","6,080","6,380",11.1000004,10.8999996,7.4000001,7.4000001,57,4,TWO,55,2,24,10,10,1,40,2,3,0,0, ,536124,0,"1,171","19,288","19,223",0,0,"1,588.823478849999900","1,171","1,227","1,227", 011E114 000, 011E115 000,0.9900000
,"1,228",3.6400001,3.7300000,3.8900001,3.8000000,3.8900001,4.0000000,30,30,P1,P1,"5,230","5,470","5,780","6,080","6,380",11.1000004,10.8999996,7.4000001,7.4000001,57,4,TWO,55,2,24,10,10,1,40,2,3,0,0, ,536124,1,"1,172","19,223","19,211",0,0,142.830799429000000,"1,172","1,228","1,228", 011E115 000, 011E115 009,0.0900000
,"1,229",3.4600000,3.5400000,3.6500001,3.7500000,3.9000001,4.0000000,30,30,P1,P1,"4,800","5,020","5,290","5,570","5,840",11.1999998,11.0000000,11.6000004,11.6000004,57,4,TWO,55,2,24,10,10,1,38,6,3,0,0, ,531555,2,"1,173","19,211","19,152",0,0,"1,128.150231480000000","1,173","1,229","1,229", 011E115 009, 011E116 000,0.7100000
