OID_,PDP_ID,FCLASS,NHS,C2030,AADTYR_1,AADTYR_10,TRKYR_1,GFPYELOW,TRWAYWD,RSHTOTWD,RSHPAVWD,HCURLE40,HCURGT40,TERMINI,NUMLANES,HWCMTYCD,HWFDURBC,WI_CNTY_NM,RAUXWDTH,RAUX1TYP,RAUX1WD,RSH1WD,LAUXWDTH,LAUX1TYP,LAUX1WD,LSHPAVWD,LSH1TYP,LSH1WD,MEDNTYP,MEDNWD,MAINTYP,FID,OBJECTID,FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,META_MANAG,META_MAN_1,PDP_ID_1,PDP_FRM,PDP_TO,PDP_MILE
,"1,219",10,NHS,C2,"4,690","4,990",10.1999998,G,24,10,3,G,G,STH 104 &CTH T/BRODHEAD-ORFORDVILLE,2,53036,000,ROCK,0, ,0,3,0, ,0,3,3,3, ,0,RU,27,"1,164","19,439","19,435",0,0,"2,853.367133260000200","1,164","1,219","1,219", 011E104 000, 011E106 000,1.7800000
,"1,220",10,NHS,C2,"4,690","4,990",10.1999998,G,24,10,3,G,G,STH 104 &CTH T/BRODHEAD-ORFORDVILLE,2,53036,000,ROCK,0, ,0,3,0, ,0,3,3,3, ,0,RU,28,"1,165","19,435","19,433",0,0,"2,026.164253120000000","1,165","1,220","1,220", 011E106 000, 011E107 052,1.2700000
,"1,221",10,NHS,C2,"4,690","4,990",10.1999998,G,24,10,3,G,G,STH 104 &CTH T/BRODHEAD-ORFORDVILLE,2,53036,000,ROCK,0, ,0,3,0, ,0,3,3,3, ,0,RU,29,"1,166","19,433","19,420",0,0,"1,612.562813040000000","1,166","1,221","1,221", 011E107 052, 011E109 000,1.0000000
,"1,222",10,NHS,C2,"4,690","4,990",10.1999998,G,24,10,3,G,G,STH 104 &CTH T/BRODHEAD-ORFORDVILLE,2,53036,000,ROCK,0, ,0,3,0, ,0,3,3,3, ,0,RU,30,"1,167","19,420","19,418",0,0,"2,068.007200359999800","1,167","1,222","1,222", 011E109 000, 011E111 000,1.3000000
,"1,224",10,NHS,C2,"4,920","5,430",8.8000002,P,24,10,3,G,G,ORFORDVILLE - FOOTVILLE,2,53165,000,ROCK,0, ,0,3,0, ,0,0,1,10, ,0,ME,31,"1,168","19,417","19,380",0,0,909.279430509000010,"1,168","1,224","1,224", 011E111 000, 011E111 056,0.5600000
,"1,225",10,NHS,C2,"5,230","5,780",8.8000002,F,24,10,3,G,G,ORFORDVILLE - FOOTVILLE,2,53036,000,ROCK,0, ,0,3,0, ,0,0,1,10, ,0,RU,32,"1,169","19,380","19,355",0,0,453.835043192000000,"1,169","1,225","1,225", 011E111 056, 011E111 084,0.2800000
,"1,226",10,NHS,C2,"5,230","5,780",8.8000002,F,24,10,3,G,G,ORFORDVILLE - FOOTVILLE,2,53030,000,ROCK,0, ,0,3,0, ,0,0,1,10, ,0,RU,33,"1,170","19,355","19,288",0,0,"2,731.056979779999900","1,170","1,226","1,226", 011E111 084, 011E114 000,1.7000000
,"1,227",10,NHS,C2,"5,230","5,780",8.8000002,F,24,10,3,G,G,ORFORDVILLE - FOOTVILLE,2,53030,000,ROCK,0, ,0,3,0, ,0,0,1,10, ,0,RU,0,"1,171","19,288","19,223",0,0,"1,588.823478849999900","1,171","1,227","1,227", 011E114 000, 011E115 000,0.9900000
,"1,228",10,NHS,C2,"5,230","5,780",8.8000002,F,24,10,3,G,G,ORFORDVILLE - FOOTVILLE,2,53030,000,ROCK,0, ,0,3,0, ,0,0,1,10, ,0,RU,1,"1,172","19,223","19,211",0,0,142.830799429000000,"1,172","1,228","1,228", 011E115 000, 011E115 009,0.0900000
,"1,229",10,NHS,C2,"4,800","5,290",13.8000002,F,24,10,3,G,G,ORFORDVILLE - FOOTVILLE,2,53126,000,ROCK,0, ,0,3,0, ,0,0,1,10, ,0,ME,2,"1,173","19,211","19,152",0,0,"1,128.150231480000000","1,173","1,229","1,229", 011E115 009, 011E116 000,0.7100000
