OID_,PDP_ID,RATE,RATEFLAG,CRASHES,CRASHYR5,CRASHYR4,CRASHYR3,CRASHYR2,CRASHYR1,CPM,AKNO,AKPROP,AKFLAG,RORPROP,RORFLAG,INTPROP,INTFLAG,CRSHSPOT,SEVINDX,SIREDUC,LOP,IMPFLAG,TRVL_CLS,HSTL_AADT,WTHR_TOT,FATL_TOT,INCAP_TOT,NONINC_TOT,PSBL_TOT,PD_ONLY_TO,WI_CNTY_NM,YRS_OTT,MMGR_HMVMT,FATLOCC,INCAPOCC,NINCAPOCC,PSBLOCC,KABINJYRT,KABINJFL,KABCRSHRT,KABCRSHFL,DRVFL,UCLCRSHRT,UCLKABINJ,UCLKABCRSH,RECOVRSRF,FID,OBJECTID,FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,META_MANAG,META_MAN_1,PDP_ID_1,PDP_FRM,PDP_TO,PDP_MILE
,"1,219",26.5373993,0.0000000,0.8000000,0,1,1,1,1,0.4500000,0.0000000,0.000000000000000,0.0000000,0.250000000000000,0.0000000,0.500000000000000,0.0000000,0,4,0, , ,420,"4,640",2,0,0,0,0,4,ROCK,5,0.150700000000000,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,0,96.4570007,37.5460014,28.1879997,493.852199999999980,27,"1,164","19,439","19,435",0,0,"2,853.367133260000200","1,164","1,219","1,219", 011E104 000, 011E106 000,1.7800000
,"1,220",83.6869965,0.0000000,1.8000000,2,2,4,0,1,1.4200000,0.2000000,0.111100000000000,0.0000000,0.888900000000000,0.0000000,0.000000000000000,0.0000000,0,16,0, , ,420,"4,640",1,0,1,0,0,8,ROCK,5,0.107500000000000,0,1,0,0,9.2986002,0.0000000,9.2986002,0.0000000,0,100.5400009,39.9020004,30.1660004,"24,340.113099999999000",28,"1,165","19,435","19,433",0,0,"2,026.164253120000000","1,165","1,220","1,220", 011E106 000, 011E107 052,1.2700000
,"1,221",23.6182995,0.0000000,0.4000000,2,0,0,0,0,0.4000000,0.2000000,0.500000000000000,0.0000000,1.000000000000000,0.0000000,0.000000000000000,0.0000000,0,11,0, , ,420,"4,640",0,1,0,0,0,1,ROCK,5,0.084700000000000,1,0,0,0,11.8092003,0.0000000,11.8092003,0.0000000,0,103.8700027,41.8269997,31.7819996,"582,697.852100000020000",29,"1,166","19,433","19,420",0,0,"1,612.562813040000000","1,166","1,221","1,221", 011E107 052, 011E109 000,1.0000000
,"1,222",99.9236984,0.0000000,2.2000000,3,2,3,2,1,1.6900001,0.4000000,0.181800000000000,0.0000000,0.545500000000000,0.0000000,0.363600000000000,0.0000000,1,32,11,14,YES,420,"4,640",3,1,1,1,2,6,ROCK,5,0.110100000000000,1,1,7,2,81.7557983,2.0580001,27.2518997,0.0000000,1,100.2300034,39.7260017,30.0179996,"463,364.434400000030000",30,"1,167","19,420","19,418",0,0,"2,068.007200359999800","1,167","1,222","1,222", 011E109 000, 011E111 000,1.3000000
,"1,224",358.2279968,3.0400000,2.8000000,4,2,4,3,1,5.0000000,0.2000000,0.071400000000000,0.0000000,0.071400000000000,0.0000000,0.928600000000000,2.0899999,1,31,47,18,YES,420,"3,824",7,0,1,2,4,7,ROCK,5,0.039100000000000,0,1,6,5,179.1139984,3.5899999,76.7630997,1.9910001,0,117.8499985,49.8940010,38.5540009,"18,235.755600000000000",31,"1,168","19,417","19,380",0,0,909.279430509000010,"1,168","1,224","1,224", 011E111 000, 011E111 056,0.5600000
,"1,225",198.4730072,1.5440000,1.0000000,2,1,1,1,0,3.5699999,0.0000000,0.000000000000000,0.0000000,0.600000000000000,0.0000000,0.000000000000000,0.0000000,1,8,1, 7,YES,420,"4,930",2,0,0,1,0,4,ROCK,5,0.025200000000000,0,0,1,0,39.6946983,0.0000000,39.6946983,0.0000000,0,128.5500031,56.0709991,43.7400017,"1,970.530400000000100",32,"1,169","19,380","19,355",0,0,453.835043192000000,"1,169","1,225","1,225", 011E111 056, 011E111 084,0.2800000
,"1,226",65.3795013,0.0000000,2.0000000,5,0,2,0,3,1.1799999,0.0000000,0.000000000000000,0.0000000,0.800000000000000,0.0000000,0.000000000000000,0.0000000,0,13,0, , ,420,"4,930",4,0,0,1,0,9,ROCK,5,0.153000000000000,0,0,1,0,6.5379000,0.0000000,6.5379000,0.0000000,0,96.2949982,37.4529991,28.1100006,970.923300000000040,33,"1,170","19,355","19,288",0,0,"2,731.056979779999900","1,170","1,226","1,226", 011E111 084, 011E114 000,1.7000000
,"1,227",44.9071007,0.0000000,0.8000000,1,0,2,1,0,0.8100000,0.0000000,0.000000000000000,0.0000000,1.000000000000000,0.0000000,0.000000000000000,0.0000000,0,7,0, , ,420,"4,930",1,0,0,1,0,3,ROCK,5,0.089100000000000,0,0,1,0,11.2268000,0.0000000,11.2268000,0.0000000,0,103.1299973,41.4000015,31.4239998,335.337600000000010,0,"1,171","19,288","19,223",0,0,"1,588.823478849999900","1,171","1,227","1,227", 011E114 000, 011E115 000,0.9900000
,"1,228",370.4840088,2.1789999,0.6000000,1,0,0,1,1,6.6700001,0.0000000,0.000000000000000,0.0000000,0.000000000000000,0.0000000,1.000000000000000,1.7090000,0,4,4, 3,YES,420,"4,930",1,0,0,0,1,2,ROCK,5,0.008100000000000,0,0,0,2,0.0000000,0.0000000,0.0000000,0.0000000,0,170.0200043,80.0059967,63.8339996,0.000000000000000,1,"1,172","19,223","19,211",0,0,142.830799429000000,"1,172","1,228","1,228", 011E115 000, 011E115 009,0.0900000
,"1,229",136.4129944,1.2420000,1.6000000,2,4,1,0,1,2.2500000,0.2000000,0.125000000000000,0.0000000,0.375000000000000,0.0000000,0.500000000000000,1.0310000,0,15,7, 3,YES,420,"4,526",4,0,1,0,0,7,ROCK,5,0.058600000000000,0,2,0,1,34.1030998,0.0000000,17.0515995,0.0000000,1,109.8499985,45.2729988,34.6749992,"78,764.765799999994000",2,"1,173","19,211","19,152",0,0,"1,128.150231480000000","1,173","1,229","1,229", 011E115 009, 011E116 000,0.7100000
